이름,팀,월,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루율,장타율,OPS
한동희,22롯,6,64,59,7,16,5,0,1,24,11,0,0,3,2,0,8,2,0,0,0.271,0.328,0.407,0.735
김혜성,22키,6,109,93,17,25,0,0,0,25,1,11,1,16,0,2,17,2,0,0,0.269,0.376,0.269,0.645
강민호,22삼,6,62,60,4,16,4,1,1,25,7,0,0,2,0,0,10,5,0,0,0.267,0.29,0.417,0.707
이창진,22기,6,101,87,9,23,4,0,2,33,16,1,0,10,0,0,16,1,2,2,0.264,0.333,0.379,0.713
김인환,22한,6,84,80,9,21,2,0,2,29,10,1,0,4,0,0,23,1,0,0,0.263,0.298,0.363,0.66
채은성,22L,6,92,80,10,21,2,1,3,34,17,0,1,5,5,0,15,0,0,2,0.263,0.337,0.425,0.762
권희동,22N,6,82,73,7,19,2,1,2,29,6,0,0,8,0,0,9,0,1,0,0.26,0.333,0.397,0.731
유강남,22L,6,73,66,10,17,3,0,0,20,3,0,0,4,2,1,16,2,1,0,0.258,0.319,0.303,0.623
오선진,22삼,6,99,86,8,22,2,0,2,30,12,1,1,7,0,0,20,2,6,0,0.256,0.312,0.349,0.661
문성주,22L,6,65,55,6,14,1,1,1,20,6,3,1,6,2,1,5,1,2,0,0.255,0.349,0.364,0.713
양의지,22N,6,88,79,12,20,5,0,3,34,11,0,0,8,0,1,6,2,0,1,0.253,0.318,0.43,0.749
김휘집,22키,6,94,80,10,20,1,0,1,24,7,0,0,9,3,0,30,1,1,1,0.25,0.344,0.3,0.644
박동원,22기,6,80,68,11,17,6,0,3,32,15,1,0,10,1,2,13,3,1,0,0.25,0.354,0.471,0.825
강백호,22K,6,91,80,13,20,6,0,3,35,10,0,0,9,1,2,14,0,0,1,0.25,0.33,0.438,0.767
나성범,22기,6,109,93,12,23,9,0,3,41,12,1,0,13,2,0,26,0,0,1,0.247,0.349,0.441,0.79
박병호,22K,6,96,89,18,22,6,0,10,58,22,0,0,6,1,0,28,1,0,0,0.247,0.302,0.652,0.954
양석환,22두,6,91,81,12,20,2,1,2,30,10,0,0,8,1,1,16,1,0,1,0.247,0.319,0.37,0.689
최재훈,22한,6,70,61,7,15,5,0,1,23,8,1,0,3,3,0,9,1,1,1,0.246,0.309,0.377,0.686
김민혁,22K,6,75,61,10,15,1,0,0,16,5,0,2,6,1,0,9,3,6,1,0.246,0.319,0.262,0.581
심우준,22K,6,81,74,12,18,3,1,1,26,4,0,0,5,0,0,16,3,1,1,0.243,0.288,0.351,0.639
김선빈,22기,6,105,91,7,22,2,0,1,27,8,0,0,9,2,0,6,1,2,0,0.242,0.324,0.297,0.62
오지환,22L,6,89,77,8,18,5,0,1,26,10,4,1,10,1,1,13,0,0,1,0.234,0.326,0.338,0.664
황재균,22K,6,98,87,10,20,4,0,2,30,10,1,0,10,0,0,13,4,1,0,0.23,0.309,0.345,0.654
오태곤,22S,6,62,57,4,13,1,0,0,14,2,3,1,4,0,1,16,1,1,0,0.228,0.279,0.246,0.524
이지영,22키,6,94,88,7,20,2,0,1,25,10,1,0,6,0,1,12,1,0,0,0.227,0.277,0.284,0.561
박민우,22N,6,90,81,8,18,6,0,0,24,6,3,0,8,0,1,11,1,1,0,0.222,0.292,0.296,0.588
최형우,22기,6,90,78,10,17,6,0,5,38,13,0,0,12,0,0,16,3,0,0,0.218,0.322,0.487,0.809
피렐라,22삼,6,111,97,13,21,3,0,5,39,16,1,0,11,3,3,14,4,0,0,0.216,0.315,0.402,0.717
박정현,22한,6,71,70,6,15,0,0,0,15,5,2,1,1,0,0,17,2,0,0,0.214,0.225,0.214,0.44
피터스,22롯,6,98,86,11,18,3,0,2,27,9,0,2,10,2,0,22,1,0,0,0.209,0.306,0.314,0.62
오윤석,22K,6,66,53,4,11,1,0,2,18,11,0,0,9,1,0,8,2,2,1,0.208,0.328,0.34,0.668
김수환,22키,6,83,68,9,14,1,0,3,24,5,0,0,12,2,0,27,0,1,0,0.206,0.342,0.353,0.694
황대인,22기,6,96,88,6,18,4,0,1,25,9,0,0,8,0,0,16,2,0,0,0.205,0.271,0.284,0.555
